mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.017644977569580077,0.004183969669505547,0.005898475646972656,0.0035581802145400574,1e-07,0.1,"{'alpha': 1e-07, 'l1_ratio': 0.1}",0.2605664785796149,0.3769992236141534,0.3116279958788597,0.3490875280842949,0.3957688367159128,0.3388100125745671,0.04830996471973138,91
0.007795906066894532,0.0021097124759833436,0.004188156127929688,0.0009600501387743553,1e-07,0.11111111111111112,"{'alpha': 1e-07, 'l1_ratio': 0.11111111111111112}",0.26056628778223534,0.3769939667856196,0.3116244313742792,0.3490868690384642,0.39576845751027534,0.3388080024981747,0.04830947911505353,92
0.00573420524597168,0.00013185758862706696,0.0033513545989990235,0.0001274269666349647,1e-07,0.12222222222222223,"{'alpha': 1e-07, 'l1_ratio': 0.12222222222222223}",0.260566096324078,0.37698868848546474,0.31162085371549353,0.3490862074100568,0.3957680767564926,0.3388059845383172,0.048308991416734746,93
0.005672597885131836,0.0001895767817182172,0.003516483306884766,0.00030982937521588616,1e-07,0.13333333333333333,"{'alpha': 1e-07, 'l1_ratio': 0.13333333333333333}",0.2605659042058085,0.3769833885711714,0.3116172628167265,0.34908554318621143,0.3957676944393772,0.33880395864385904,0.048308501608528655,94
0.005447673797607422,0.00019625840065096197,0.0032757282257080077,0.00017387751736213947,1e-07,0.14444444444444446,"{'alpha': 1e-07, 'l1_ratio': 0.14444444444444446}",0.2605657114191179,0.3769780669242362,0.3116136586112078,0.3490848763501937,0.3957673105559121,0.33880192477213356,0.048308009681469845,95
0.005980110168457032,0.0008662923714033724,0.0032837390899658203,0.0002999129464530127,1e-07,0.15555555555555556,"{'alpha': 1e-07, 'l1_ratio': 0.15555555555555556}",0.26056551796557204,0.3769727234055128,0.31161004103354173,0.3490842068846579,0.3957669250894982,0.3387998828757565,0.04830751561675896,96
0.007766866683959961,0.004651956248357131,0.0033026695251464843,0.0003736238862656005,1e-07,0.16666666666666669,"{'alpha': 1e-07, 'l1_ratio': 0.16666666666666669}",0.26056532383576425,0.37696735787289104,0.31160640999292044,0.3490835347787318,0.39576653803834827,0.33879783290373117,0.048307019405324,97
0.005302572250366211,0.00010082513958605303,0.0031911373138427735,8.011653270920581e-05,1e-07,0.17777777777777778,"{'alpha': 1e-07, 'l1_ratio': 0.17777777777777778}",0.2605651290288147,0.3769619702080047,0.3116027654226239,0.3490828600148982,0.3957661493889747,0.3387957748126632,0.048306521033341675,98
0.005498647689819336,0.00025109408959062717,0.0031886577606201174,0.00012602720393835938,1e-07,0.18888888888888888,"{'alpha': 1e-07, 'l1_ratio': 0.18888888888888888}",0.2605649335409922,0.3769565602668029,0.3115991072577765,0.349082182574902,0.395765759131654,0.33879370855442553,0.04830602048451369,99
0.0056666374206542965,0.0004251743756004756,0.003311014175415039,0.00017722412360231637,1e-07,0.2,"{'alpha': 1e-07, 'l1_ratio': 0.2}",0.2605647373722997,0.37695112791225127,0.31159543540162926,0.34908150244861835,0.3957653672515338,0.3387916340772664,0.048305517745178696,100
0.004378175735473633,8.247016860123547e-05,0.003195524215698242,0.00012100366519961178,2.231111111111111e-05,0.1,"{'alpha': 2.231111111111111e-05, 'l1_ratio': 0.1}",0.26105315758586856,0.37979721065760363,0.31342989646026387,0.3493789238743026,0.396033787044204,0.3399385951244486,0.048477052212693675,90
0.004477500915527344,0.00017045477825416243,0.003470182418823242,0.0005436652957075104,2.231111111111111e-05,0.11111111111111112,"{'alpha': 2.231111111111111e-05, 'l1_ratio': 0.11111111111111112}",0.26105111750011134,0.37979752048576265,0.31343199284940537,0.34938030439175005,0.3960341096667458,0.339939008978755,0.048477666292538024,89
0.005209970474243164,0.0010232839912846588,0.0037315845489501952,0.0007227287054035459,2.231111111111111e-05,0.12222222222222223,"{'alpha': 2.231111111111111e-05, 'l1_ratio': 0.12222222222222223}",0.2610490765880066,0.3797978492607027,0.3134341172862586,0.34938169423282084,0.3960344373225009,0.3399394349380579,0.04847828225058746,88
0.004204082489013672,0.00010902017952908243,0.002952861785888672,3.133164855710002e-05,2.231111111111111e-05,0.13333333333333333,"{'alpha': 2.231111111111111e-05, 'l1_ratio': 0.13333333333333333}",0.2610470348488697,0.3797981977046241,0.3134362701424811,0.3493830935252449,0.3960347702045336,0.33993987328515074,0.04847890021546357,87
0.004212188720703125,0.00013399042692649585,0.003110837936401367,0.00028287877220495034,2.231111111111111e-05,0.14444444444444446,"{'alpha': 2.231111111111111e-05, 'l1_ratio': 0.14444444444444446}",0.26104499095746114,0.3797985675037594,0.31343845383330715,0.34938450272369537,0.3960351086562097,0.33994032473488656,0.048479520729524515,86
0.005733489990234375,0.0009854209349798783,0.004519462585449219,0.0007222769243249433,2.231111111111111e-05,0.15555555555555556,"{'alpha': 2.231111111111111e-05, 'l1_ratio': 0.15555555555555556}",0.26104294756075364,0.37979895760211213,0.31344066883925126,0.34938592219697284,0.3960354526087454,0.33994078976156705,0.04848014270422034,85
0.007464265823364258,0.004041130874486444,0.003864908218383789,0.0004950335568323334,2.231111111111111e-05,0.16666666666666669,"{'alpha': 2.231111111111111e-05, 'l1_ratio': 0.16666666666666669}",0.26104090333544006,0.37979936976374984,0.3134429163627467,0.34938735233251694,0.3960358024255387,0.3399412688439985,0.04848076682878782,84
