mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.007910394668579101,0.005081307569977162,0.0027809619903564455,0.0002186568700037396,0.0001,0.0001,"{'alpha': 0.0001, 'l1_ratio': 0.0001}",0.26215653383775006,0.38045251355871545,0.3126858575954097,0.34906915217773926,0.3962023290051314,0.34011327723494916,0.048338309032968645,10
0.0070113658905029295,0.007026468357436697,0.0026974201202392576,0.00020072739823814392,0.0001,0.05564444444444445,"{'alpha': 0.0001, 'l1_ratio': 0.05564444444444445}",0.26211909779541265,0.38045251210483255,0.31271115681312767,0.3490930457152832,0.39620881352020076,0.3401169251897714,0.048349906859266545,8
0.006283092498779297,0.0051938923346113545,0.0027480125427246094,0.00018376861135373877,0.0001,0.11118888888888889,"{'alpha': 0.0001, 'l1_ratio': 0.11118888888888889}",0.26208060497522,0.38045310746345207,0.3127336708180254,0.3491150462300995,0.39621398989346135,0.34011928387605167,0.0483618947433632,3
0.0036769866943359374,5.178429584210754e-05,0.0026601314544677734,3.493189386583807e-05,0.0001,0.16673333333333332,"{'alpha': 0.0001, 'l1_ratio': 0.16673333333333332}",0.26204178792775334,0.3804480394305195,0.31275169888932863,0.3491369098432261,0.3962190522373169,0.34011949766562893,0.048373526218742864,1
0.003741598129272461,4.7751997696122865e-05,0.002776908874511719,6.47578217513859e-05,0.0001,0.22227777777777777,"{'alpha': 0.0001, 'l1_ratio': 0.22227777777777777}",0.26200263818182723,0.3804413059974938,0.3127698191535052,0.3491588050809751,0.3962239987800742,0.3401193134387751,0.04838495840891137,2
0.004024600982666016,0.0004270272460789093,0.0028223037719726563,9.453813471383007e-05,0.0001,0.2778222222222222,"{'alpha': 0.0001, 'l1_ratio': 0.2778222222222222}",0.2619631628760274,0.38043439628446596,0.3127880319517051,0.3491807321893865,0.39622882634890966,0.3401190299300989,0.04839643679394561,4
0.0037980079650878906,6.128850895906039e-05,0.002785205841064453,6.211250146373949e-05,0.0001,0.33336666666666664,"{'alpha': 0.0001, 'l1_ratio': 0.33336666666666664}",0.26192333479892604,0.3804273243404991,0.31280634664196727,0.34920269011862415,0.3962335347406165,0.3401186461281266,0.04840797152439729,5
0.0042110919952392575,0.0002724604544535965,0.0034976959228515624,0.0006139940966807055,0.0001,0.3889111111111111,"{'alpha': 0.0001, 'l1_ratio': 0.3889111111111111}",0.2618831757629293,0.38042006841074305,0.3128247581415391,0.34922468126928163,0.3962381193263268,0.34011816058216404,0.048419551690503104,6
0.004718208312988281,0.000179176826996143,0.006579446792602539,0.005876066079341041,0.0001,0.44445555555555555,"{'alpha': 0.0001, 'l1_ratio': 0.44445555555555555}",0.261842667483818,0.38041263593202734,0.3128432577960948,0.3492467030973644,0.3962425809117843,0.34011756904421775,0.04843118567521884,7
0.004871940612792969,0.00018826558810683728,0.0038300514221191405,0.000445219987045161,0.0001,0.5,"{'alpha': 0.0001, 'l1_ratio': 0.5}",0.2618017845110342,0.3804050395688525,0.3128618659575606,0.3492687570948425,0.3962469134404094,0.34011687211453984,0.04844288034732244,9
0.004282808303833008,7.720810856952321e-05,0.0034160614013671875,0.00014002735393956888,0.05564444444444445,0.0001,"{'alpha': 0.05564444444444445, 'l1_ratio': 0.0001}",0.2649938944776329,0.34001457621853703,0.27140036416178304,0.308901701306863,0.32328779745985303,0.3017196667249338,0.029159247014744247,11
0.005251073837280273,0.001019012014216237,0.003849172592163086,0.0007689291201819764,0.05564444444444445,0.05564444444444445,"{'alpha': 0.05564444444444445, 'l1_ratio': 0.05564444444444445}",0.261014115055733,0.33586702648680744,0.26873757452441915,0.3074732753007613,0.3158977803324876,0.2977979543400417,0.0285237665755682,12
0.004655313491821289,0.0007613460382054726,0.003334188461303711,9.052707924676882e-05,0.05564444444444445,0.11118888888888889,"{'alpha': 0.05564444444444445, 'l1_ratio': 0.11118888888888889}",0.2573116710762162,0.3313970784852319,0.26608243168437495,0.3062172368353422,0.3079702568080074,0.2937957349778345,0.0278143341077368,13
0.004296159744262696,6.514764879087337e-05,0.0033901214599609377,6.292722256407496e-05,0.05564444444444445,0.16673333333333332,"{'alpha': 0.05564444444444445, 'l1_ratio': 0.16673333333333332}",0.2542483226414328,0.3264699701906272,0.26322347598259455,0.3046422468823555,0.30108308114763604,0.2899334193689292,0.027064483422736072,14
0.004488515853881836,9.080642259425268e-05,0.0033107757568359374,4.4771835206528174e-05,0.05564444444444445,0.22227777777777777,"{'alpha': 0.05564444444444445, 'l1_ratio': 0.22227777777777777}",0.2505757840801178,0.32172154187114455,0.2604205520582803,0.30282261172797786,0.2948051998682898,0.28606913792116206,0.026629756641785636,15
0.004318809509277344,9.618865717339773e-05,0.0032644271850585938,2.3709406103871576e-05,0.05564444444444445,0.2778222222222222,"{'alpha': 0.05564444444444445, 'l1_ratio': 0.2778222222222222}",0.2464392009422035,0.3162893510257252,0.25778746158034194,0.30044200833110624,0.2878108630543964,0.28175377698675463,0.026077376064236532,17
0.004625177383422852,0.00038489336052877185,0.0035705089569091795,0.00030930289175103257,0.05564444444444445,0.33336666666666664,"{'alpha': 0.05564444444444445, 'l1_ratio': 0.33336666666666664}",0.24164291023592832,0.3100813393558669,0.25472465463396743,0.29703128278355573,0.2799913934528,0.2766943160924237,0.02549675796185136,18
